year,size_emp,indic_is,indicator_label,value
2023,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,2.48
2024,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,4.24
2025,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,5.35
2023,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,43.87
2024,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,48.32
2025,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,52.49
2023,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,2.73
2024,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,5.03
2025,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,6.6
2023,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,2.51
2024,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,4.29
2025,10-49,E_AI_BCDP,Barrier: data protection and privacy concerns,5.41
2023,10-49,E_AI_BLEG,Barrier: unclear legal consequences,2.67
2024,10-49,E_AI_BLEG,Barrier: unclear legal consequences,4.64
2025,10-49,E_AI_BLEG,Barrier: unclear legal consequences,5.58
2023,10-49,E_AI_BLEG,Barrier: unclear legal consequences,47.36
2024,10-49,E_AI_BLEG,Barrier: unclear legal consequences,52.93
2025,10-49,E_AI_BLEG,Barrier: unclear legal consequences,54.79
2023,10-49,E_AI_BLEG,Barrier: unclear legal consequences,2.94
2024,10-49,E_AI_BLEG,Barrier: unclear legal consequences,5.5
2025,10-49,E_AI_BLEG,Barrier: unclear legal consequences,6.89
2023,10-49,E_AI_BLEG,Barrier: unclear legal consequences,2.71
2024,10-49,E_AI_BLEG,Barrier: unclear legal consequences,4.7
2025,10-49,E_AI_BLEG,Barrier: unclear legal consequences,5.64
2023,10-49,E_AI_CC,AI plus cloud computing services,4.73
2025,10-49,E_AI_CC,AI plus cloud computing services,13.32
2023,10-49,E_AI_CC,AI plus cloud computing services,4.78
2025,10-49,E_AI_CC,AI plus cloud computing services,13.47
2021,10-49,E_AI_TANY,Any AI technology adoption,6.12
2023,10-49,E_AI_TANY,Any AI technology adoption,6.41
2024,10-49,E_AI_TANY,Any AI technology adoption,11.21
2025,10-49,E_AI_TANY,Any AI technology adoption,17.0
2021,10-49,E_AI_TANY,Any AI technology adoption,6.24
2023,10-49,E_AI_TANY,Any AI technology adoption,6.49
