slide,claim,proof_object,visual_type,boundary
1,企业 AI 部署偏好与治理机制：完整机器学习案例,"12.77M official source rows; 5,814 Stage 2 modeling rows; 0.7245 Stage 2 R2",gpt-image-2,Generated visuals are not statistical evidence
2,主证据从问卷/Kaggle 升级为官方数据,Eurostat source manifests; SHA256 and download records; Questionnaire only as auxiliary evidence,gpt-image-2,Generated visuals are not statistical evidence
3,数据生命周期每一步都有仓库证据,data/raw/manifest*.jsonl; data/processed/*.csv; outputs/tables and reports,gpt-image-2,Generated visuals are not statistical evidence
4,Stage 1 解释 SME 机制，Stage 2 验证行业/区域泛化,"Stage 1: 553 / 544 / 36; Stage 2: 5,814 / 36 / 50; 2021, 2023-2025",gpt-image-2,Generated visuals are not statistical evidence
5,1277 万源数据行不是直接训练样本,"12,770,332 raw rows; 856,880 feature-filtered rows; 5,814 modeling rows",data-chart,Chart is data-driven
6,监督学习任务围绕官方 AI 工作流指标展开,Target: workflow automation; Ridge and ExtraTrees; Leakage-controlled features,gpt-image-2,Generated visuals are not statistical evidence
7,GroupKFold 按国家分组降低泄漏,Stage 1 R2=0.8680; Stage 2 R2=0.7245; Time holdout as boundary check,data-chart,Chart is data-driven
8,Stage 1 Ridge 支撑 SME 机制解释,Ridge; MAE=1.8342; SME mechanism layer,data-chart,Chart is data-driven
9,Stage 2 ExtraTrees 支撑行业/区域外部验证,ExtraTrees; MAE=1.9646; External validation layer,data-chart,Chart is data-driven
10,特征重要性服务机制解释，不写成因果证明,Feature importance; Deployment readiness; No causal proof claim,data-chart,Chart is data-driven
11,Agent 原型把证据约束转成可演示工具,Evidence-bound answers; Safe unavailable fallback; 8 unit tests pass,gpt-image-2,Generated visuals are not statistical evidence
12,公开仓库只保留课程复现材料,Public: data/code/outputs/PPT; Private: manuscript/questionnaire; No joblib / pkl / env,gpt-image-2,Generated visuals are not statistical evidence
13,边界说清楚，比把结论写满更专业,Correct source-chain wording; No causal overclaim; Questionnaire is aggregate only,gpt-image-2,Generated visuals are not statistical evidence
14,真实数据、严格验证、可复现展示,Final PPTX and PDF; 14 previews + contact sheet; Evidence map and QA,gpt-image-2,Generated visuals are not statistical evidence
